index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
60," \w παρακλήσεως|lemma=""παράκλησις"" strong=""G38740"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/other/comfort""",1,3, παρακλήσεως,,"Gr,N,,,,,GFS,",παράκλησις,G38740,False,G38740,rc://*/tw/dict/bible/other/comfort,60,1,1,48-2CO
62,"\w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,NMS,""",1,4, ὁ,,"Gr,RD,,,,NMS,",ὁ,G35880,False,G35880,,62,1,1,48-2CO
63," \w παρακαλῶν|lemma=""παρακαλέω"" strong=""G38700"" x-morph=""Gr,V,PPA,NMS,"" x-tw=""rc://*/tw/dict/bible/other/comfort""",1,4, παρακαλῶν,,"Gr,V,PPA,NMS,",παρακαλέω,G38700,False,G38700,rc://*/tw/dict/bible/other/comfort,63,1,1,48-2CO
64," \w ἡμᾶς|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1A,P,""",1,4, ἡμᾶς,,"Gr,RP,,,1A,P,",ἐγώ,G14730,False,G14730,,64,2,1,48-2CO
65," \w ἐπὶ|lemma=""ἐπί"" strong=""G19090"" x-morph=""Gr,P,,,,,D,,,""",1,4, ἐπὶ,,"Gr,P,,,,,D,,,",ἐπί,G19090,False,G19090,,65,1,1,48-2CO
66," \w πάσῃ|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,EQ,,,,DFS,""",1,4, πάσῃ,,"Gr,EQ,,,,DFS,",πᾶς,G39560,False,G39560,,66,2,1,48-2CO
67," \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFS,""",1,4, τῇ,,"Gr,EA,,,,DFS,",ὁ,G35880,False,G35880,,67,1,1,48-2CO
68," \w θλίψει|lemma=""θλῖψις"" strong=""G23470"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/other/tribulation""",1,4, θλίψει,,"Gr,N,,,,,DFS,",θλῖψις,G23470,False,G23470,rc://*/tw/dict/bible/other/tribulation,68,2,1,48-2CO
69," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,4, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,69,1,1,48-2CO
70,", \w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",1,4, εἰς,", ","Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,70,1,1,48-2CO
71," \w τὸ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,ANS,""",1,4, τὸ,,"Gr,RD,,,,ANS,",ὁ,G35880,False,G35880,,71,1,1,48-2CO
72," \w δύνασθαι|lemma=""δύναμαι"" strong=""G14100"" x-morph=""Gr,V,NPM,,,,,""",1,4, δύνασθαι,,"Gr,V,NPM,,,,,",δύναμαι,G14100,False,G14100,,72,1,1,48-2CO
73," \w ἡμᾶς|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1A,P,""",1,4, ἡμᾶς,,"Gr,RP,,,1A,P,",ἐγώ,G14730,False,G14730,,73,2,2,48-2CO
74," \w παρακαλεῖν|lemma=""παρακαλέω"" strong=""G38700"" x-morph=""Gr,V,NPA,,,,,"" x-tw=""rc://*/tw/dict/bible/other/comfort""",1,4, παρακαλεῖν,,"Gr,V,NPA,,,,,",παρακαλέω,G38700,False,G38700,rc://*/tw/dict/bible/other/comfort,74,1,1,48-2CO
75," \w τοὺς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,AMP,""",1,4, τοὺς,,"Gr,RD,,,,AMP,",ὁ,G35880,False,G35880,,75,1,1,48-2CO
76," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,4, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,76,1,1,48-2CO
77," \w πάσῃ|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,EQ,,,,DFS,""",1,4, πάσῃ,,"Gr,EQ,,,,DFS,",πᾶς,G39560,False,G39560,,77,2,2,48-2CO
78," \w θλίψει|lemma=""θλῖψις"" strong=""G23470"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/other/tribulation""",1,4, θλίψει,,"Gr,N,,,,,DFS,",θλῖψις,G23470,False,G23470,rc://*/tw/dict/bible/other/tribulation,78,2,2,48-2CO
79,", \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,G,,,""",1,4, διὰ,", ","Gr,P,,,,,G,,,",διά,G12230,False,G12230,,79,1,1,48-2CO
80," \w τῆς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GFS,""",1,4, τῆς,,"Gr,EA,,,,GFS,",ὁ,G35880,False,G35880,,80,1,1,48-2CO
81," \w παρακλήσεως|lemma=""παράκλησις"" strong=""G38740"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/other/comfort""",1,4, παρακλήσεως,,"Gr,N,,,,,GFS,",παράκλησις,G38740,False,G38740,rc://*/tw/dict/bible/other/comfort,81,1,1,48-2CO
82," \w ἧς|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,GFS,""",1,4, ἧς,,"Gr,RR,,,,GFS,",ὅς,G37390,False,G37390,,82,1,1,48-2CO
83," \w παρακαλούμεθα|lemma=""παρακαλέω"" strong=""G38700"" x-morph=""Gr,V,IPP1,,P,"" x-tw=""rc://*/tw/dict/bible/other/comfort""",1,4, παρακαλούμεθα,,"Gr,V,IPP1,,P,",παρακαλέω,G38700,False,G38700,rc://*/tw/dict/bible/other/comfort,83,1,1,48-2CO
84," \w αὐτοὶ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RE,,,1NMP,""",1,4, αὐτοὶ,,"Gr,RE,,,1NMP,",αὐτός,G08460,False,G08460,,84,1,1,48-2CO
85," \w ὑπὸ|lemma=""ὑπό"" strong=""G52590"" x-morph=""Gr,P,,,,,G,,,""",1,4, ὑπὸ,,"Gr,P,,,,,G,,,",ὑπό,G52590,False,G52590,,85,1,1,48-2CO
86," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,4, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,86,1,1,48-2CO
87," \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,4, Θεοῦ,,"Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,87,1,1,48-2CO
89,"\w ὅτι|lemma=""ὅτι"" strong=""G37540"" x-morph=""Gr,CS,,,,,,,,""",1,5, ὅτι,,"Gr,CS,,,,,,,,",ὅτι,G37540,False,G37540,,89,1,1,48-2CO
90," \w καθὼς|lemma=""καθώς"" strong=""G25310"" x-morph=""Gr,D,,,,,,,,,"" x-tw=""rc://*/tw/dict/bible/other/like""",1,5, καθὼς,,"Gr,D,,,,,,,,,",καθώς,G25310,False,G25310,rc://*/tw/dict/bible/other/like,90,1,1,48-2CO
91," \w περισσεύει|lemma=""περισσεύω"" strong=""G40520"" x-morph=""Gr,V,IPA3,,S,"" x-tw=""rc://*/tw/dict/bible/other/multiply""",1,5, περισσεύει,,"Gr,V,IPA3,,S,",περισσεύω,G40520,False,G40520,rc://*/tw/dict/bible/other/multiply,91,2,1,48-2CO
92," \w τὰ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NNP,""",1,5, τὰ,,"Gr,EA,,,,NNP,",ὁ,G35880,False,G35880,,92,1,1,48-2CO
93," \w παθήματα|lemma=""πάθημα"" strong=""G38040"" x-morph=""Gr,N,,,,,NNP,"" x-tw=""rc://*/tw/dict/bible/other/suffer""",1,5, παθήματα,,"Gr,N,,,,,NNP,",πάθημα,G38040,False,G38040,rc://*/tw/dict/bible/other/suffer,93,1,1,48-2CO
94," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,5, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,94,2,1,48-2CO
