index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
56," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,4, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,56,4,2,49-GAL
57," \w αἰῶνος|lemma=""αἰών"" strong=""G01650"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/other/age""",1,4, αἰῶνος,,"Gr,N,,,,,GMS,",αἰών,G01650,False,G01650,rc://*/tw/dict/bible/other/age,57,1,1,49-GAL
58," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,GMS,""",1,4, τοῦ,,"Gr,RD,,,,GMS,",ὁ,G35880,False,G35880,,58,4,3,49-GAL
59," \w ἐνεστῶτος|lemma=""ἐνίστημι"" strong=""G17640"" x-morph=""Gr,V,PEA,GMS,""",1,4, ἐνεστῶτος,,"Gr,V,PEA,GMS,",ἐνίστημι,G17640,False,G17640,,59,1,1,49-GAL
60," \w πονηροῦ|lemma=""πονηρός"" strong=""G41900"" x-morph=""Gr,NS,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/evil""",1,4, πονηροῦ,,"Gr,NS,,,,GMS,",πονηρός,G41900,False,G41900,rc://*/tw/dict/bible/kt/evil,60,1,1,49-GAL
61,", \w κατὰ|lemma=""κατά"" strong=""G25960"" x-morph=""Gr,P,,,,,A,,,""",1,4, κατὰ,", ","Gr,P,,,,,A,,,",κατά,G25960,False,G25960,,61,1,1,49-GAL
62," \w τὸ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,ANS,""",1,4, τὸ,,"Gr,EA,,,,ANS,",ὁ,G35880,False,G35880,,62,1,1,49-GAL
63," \w θέλημα|lemma=""θέλημα"" strong=""G23070"" x-morph=""Gr,N,,,,,ANS,"" x-tw=""rc://*/tw/dict/bible/kt/willofgod""",1,4, θέλημα,,"Gr,N,,,,,ANS,",θέλημα,G23070,False,G23070,rc://*/tw/dict/bible/kt/willofgod,63,1,1,49-GAL
64," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,4, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,64,4,4,49-GAL
65," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,""",1,4, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,65,1,1,49-GAL
