index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
76," \w καρδίας|lemma=""καρδία"" strong=""G25880"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/heart""",1,5, καρδίας,,"Gr,N,,,,,GFS,",καρδία,G25880,False,G25880,rc://*/tw/dict/bible/kt/heart,76,1,1,55-1TI
77,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,5, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,77,2,1,55-1TI
78," \w συνειδήσεως|lemma=""συνείδησις"" strong=""G48930"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/conscience""",1,5, συνειδήσεως,,"Gr,N,,,,,GFS,",συνείδησις,G48930,False,G48930,rc://*/tw/dict/bible/kt/conscience,78,1,1,55-1TI
79," \w ἀγαθῆς|lemma=""ἀγαθός"" strong=""G00180"" x-morph=""Gr,AA,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/good""",1,5, ἀγαθῆς,,"Gr,AA,,,,GFS,",ἀγαθός,G00180,False,G00180,rc://*/tw/dict/bible/kt/good,79,1,1,55-1TI
80,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,5, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,80,2,2,55-1TI
81," \w πίστεως|lemma=""πίστις"" strong=""G41020"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/faith""",1,5, πίστεως,,"Gr,N,,,,,GFS,",πίστις,G41020,False,G41020,rc://*/tw/dict/bible/kt/faith,81,1,1,55-1TI
82," \w ἀνυποκρίτου|lemma=""ἀνυπόκριτος"" strong=""G05050"" x-morph=""Gr,AA,,,,GFS,""",1,5, ἀνυποκρίτου,,"Gr,AA,,,,GFS,",ἀνυπόκριτος,G05050,False,G05050,,82,1,1,55-1TI
84,"\w ὧν|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,GFP,""",1,6, ὧν,,"Gr,RR,,,,GFP,",ὅς,G37390,False,G37390,,84,1,1,55-1TI
85," \w τινες|lemma=""τις"" strong=""G51000"" x-morph=""Gr,RI,,,,NMP,""",1,6, τινες,,"Gr,RI,,,,NMP,",τις,G51000,False,G51000,,85,1,1,55-1TI
86," \w ἀστοχήσαντες|lemma=""ἀστοχέω"" strong=""G07950"" x-morph=""Gr,V,PAA,NMP,"" x-tw=""rc://*/tw/dict/bible/other/astray""",1,6, ἀστοχήσαντες,,"Gr,V,PAA,NMP,",ἀστοχέω,G07950,False,G07950,rc://*/tw/dict/bible/other/astray,86,1,1,55-1TI
87,", \w ἐξετράπησαν|lemma=""ἐκτρέπω"" strong=""G16240"" x-morph=""Gr,V,IAP3,,P,"" x-tw=""rc://*/tw/dict/bible/other/turn""",1,6, ἐξετράπησαν,", ","Gr,V,IAP3,,P,",ἐκτρέπω,G16240,False,G16240,rc://*/tw/dict/bible/other/turn,87,1,1,55-1TI
88," \w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",1,6, εἰς,,"Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,88,1,1,55-1TI
89," \w ματαιολογίαν|lemma=""ματαιολογία"" strong=""G31500"" x-morph=""Gr,N,,,,,AFS,""",1,6, ματαιολογίαν,,"Gr,N,,,,,AFS,",ματαιολογία,G31500,False,G31500,,89,1,1,55-1TI
91,"\w θέλοντες|lemma=""θέλω"" strong=""G23090"" x-morph=""Gr,V,PPA,NMP,""",1,7, θέλοντες,,"Gr,V,PPA,NMP,",θέλω,G23090,False,G23090,,91,1,1,55-1TI
92," \w εἶναι|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,NPA,,,,,""",1,7, εἶναι,,"Gr,V,NPA,,,,,",εἰμί,G15100,False,G15100,,92,1,1,55-1TI
93," \w νομοδιδάσκαλοι|lemma=""νομοδιδάσκαλος"" strong=""G35470"" x-morph=""Gr,N,,,,,NMP,"" x-tw=""rc://*/tw/dict/bible/other/teacher""",1,7, νομοδιδάσκαλοι,,"Gr,N,,,,,NMP,",νομοδιδάσκαλος,G35470,False,G35470,rc://*/tw/dict/bible/other/teacher,93,1,1,55-1TI
94,", \w μὴ|lemma=""μή"" strong=""G33610"" x-morph=""Gr,D,,,,,,,,,""",1,7, μὴ,", ","Gr,D,,,,,,,,,",μή,G33610,False,G33610,,94,1,1,55-1TI
95," \w νοοῦντες|lemma=""νοέω"" strong=""G35390"" x-morph=""Gr,V,PPA,NMP,"" x-tw=""rc://*/tw/dict/bible/other/understand""",1,7, νοοῦντες,,"Gr,V,PPA,NMP,",νοέω,G35390,False,G35390,rc://*/tw/dict/bible/other/understand,95,1,1,55-1TI
96," \w μήτε|lemma=""μήτε"" strong=""G33830"" x-morph=""Gr,DO,,,,,,,,""",1,7, μήτε,,"Gr,DO,,,,,,,,",μήτε,G33830,False,G33830,,96,2,1,55-1TI
97," \w ἃ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,ANP,""",1,7, ἃ,,"Gr,RR,,,,ANP,",ὅς,G37390,False,G37390,,97,1,1,55-1TI
98," \w λέγουσιν|lemma=""λέγω"" strong=""G30040"" x-morph=""Gr,V,IPA3,,P,""",1,7, λέγουσιν,,"Gr,V,IPA3,,P,",λέγω,G30040,False,G30040,,98,1,1,55-1TI
99,", \w μήτε|lemma=""μήτε"" strong=""G33830"" x-morph=""Gr,CO,,,,,,,,""",1,7, μήτε,", ","Gr,CO,,,,,,,,",μήτε,G33830,False,G33830,,99,2,2,55-1TI
100," \w περὶ|lemma=""περί"" strong=""G40120"" x-morph=""Gr,P,,,,,G,,,""",1,7, περὶ,,"Gr,P,,,,,G,,,",περί,G40120,False,G40120,,100,1,1,55-1TI
101," \w τίνων|lemma=""τίς"" strong=""G51010"" x-morph=""Gr,RT,,,,GNP,""",1,7, τίνων,,"Gr,RT,,,,GNP,",τίς,G51010,False,G51010,,101,1,1,55-1TI
102," \w διαβεβαιοῦνται|lemma=""διαβεβαιόομαι"" strong=""G12260"" x-morph=""Gr,V,IPM3,,P,""",1,7, διαβεβαιοῦνται,,"Gr,V,IPM3,,P,",διαβεβαιόομαι,G12260,False,G12260,,102,1,1,55-1TI
