index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
17871," \w בָ⁠רְחָבָ֑ה|lemma=""רָחָב"" strong=""b:H7342"" x-morph=""He,Rd:Aafsa""",119,45, בָ⁠רְחָבָ֑ה,,"He,Rd:Aafsa",רָחָב,b:H7342,True,H7342,,17871,1,1,19-PSA
17872," \w כִּ֖י|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",119,45, כִּ֖י,,"He,C",כִּי,H3588a,False,H3588a,,17872,1,1,19-PSA
17873," \w פִקֻּדֶ֣י⁠ךָ|lemma=""פִּקּוּד"" strong=""H6490"" x-morph=""He,Ncmpc:Sp2ms""",119,45, פִקֻּדֶ֣י⁠ךָ,,"He,Ncmpc:Sp2ms",פִּקּוּד,H6490,False,H6490,,17873,1,1,19-PSA
17874," \w דָרָֽשְׁתִּי|lemma=""דָּרַשׁ"" strong=""H1875"" x-morph=""He,Vqp1cs"" x-tw=""rc://*/tw/dict/bible/other/seek""",119,45, דָרָֽשְׁתִּי,,"He,Vqp1cs",דָּרַשׁ,H1875,False,H1875,rc://*/tw/dict/bible/other/seek,17874,1,1,19-PSA
17876,"\w וַ⁠אֲדַבְּרָ֣ה|lemma=""דָבַר"" strong=""c:H1696"" x-morph=""He,C:Vph1cs""",119,46, וַ⁠אֲדַבְּרָ֣ה,,"He,C:Vph1cs",דָבַר,c:H1696,True,H1696,,17876,1,1,19-PSA
17877," \w בְ֭⁠עֵדֹתֶי⁠ךָ|lemma=""עֵדָה"" strong=""b:H5713b"" x-morph=""He,R:Ncfpc:Sp2ms""",119,46, בְ֭⁠עֵדֹתֶי⁠ךָ,,"He,R:Ncfpc:Sp2ms",עֵדָה,b:H5713b,True,H5713,,17877,1,1,19-PSA
17878," \w נֶ֥גֶד|lemma=""נֶגֶד"" strong=""H5048"" x-morph=""He,R""",119,46, נֶ֥גֶד,,"He,R",נֶגֶד,H5048,False,H5048,,17878,1,1,19-PSA
17879," \w מְלָכִ֗ים|lemma=""מֶלֶךְ"" strong=""H4428"" x-morph=""He,Ncmpa"" x-tw=""rc://*/tw/dict/bible/other/king""",119,46, מְלָכִ֗ים,,"He,Ncmpa",מֶלֶךְ,H4428,False,H4428,rc://*/tw/dict/bible/other/king,17879,1,1,19-PSA
17880," \w וְ⁠לֹ֣א|lemma=""לֹא"" strong=""c:H3808"" x-morph=""He,C:Tn""",119,46, וְ⁠לֹ֣א,,"He,C:Tn",לֹא,c:H3808,True,H3808,,17880,1,1,19-PSA
17881," \w אֵבֽוֹשׁ|lemma=""בּוּשׁ"" strong=""H0954"" x-morph=""He,Vqi1cs"" x-tw=""rc://*/tw/dict/bible/other/shame""",119,46, אֵבֽוֹשׁ,,"He,Vqi1cs",בּוּשׁ,H0954,False,H0954,rc://*/tw/dict/bible/other/shame,17881,1,1,19-PSA
17883,"\w וְ⁠אֶשְׁתַּֽעֲשַׁ֥ע|lemma=""שָׁעַע"" strong=""c:H8173b"" x-morph=""He,C:Vfi1cs""",119,47, וְ⁠אֶשְׁתַּֽעֲשַׁ֥ע,,"He,C:Vfi1cs",שָׁעַע,c:H8173b,True,H8173,,17883,1,1,19-PSA
17884," \w בְּ⁠מִצְוֺתֶ֗י⁠ךָ|lemma=""מִצְוָה"" strong=""b:H4687"" x-morph=""He,R:Ncfpc:Sp2ms"" x-tw=""rc://*/tw/dict/bible/kt/command""",119,47, בְּ⁠מִצְוֺתֶ֗י⁠ךָ,,"He,R:Ncfpc:Sp2ms",מִצְוָה,b:H4687,True,H4687,rc://*/tw/dict/bible/kt/command,17884,1,1,19-PSA
17885," \w אֲשֶׁ֣ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",119,47, אֲשֶׁ֣ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,17885,1,1,19-PSA
17886," \w אָהָֽבְתִּי|lemma=""אָהַב"" strong=""H0157"" x-morph=""He,Vqp1cs"" x-tw=""rc://*/tw/dict/bible/kt/love""",119,47, אָהָֽבְתִּי,,"He,Vqp1cs",אָהַב,H0157,False,H0157,rc://*/tw/dict/bible/kt/love,17886,1,1,19-PSA
17888,"\w וְ⁠אֶשָּֽׂא|lemma=""נָשָׂא"" strong=""c:H5375"" x-morph=""He,C:Vqi1cs""",119,48, וְ⁠אֶשָּֽׂא,,"He,C:Vqi1cs",נָשָׂא,c:H5375,True,H5375,,17888,1,1,19-PSA
17889,"־\w כַפַּ֗⁠י|lemma=""כַּף"" strong=""H3709"" x-morph=""He,Ncfdc:Sp1cs"" x-tw=""rc://*/tw/dict/bible/other/hand""",119,48, כַפַּ֗⁠י,־,"He,Ncfdc:Sp1cs",כַּף,H3709,False,H3709,rc://*/tw/dict/bible/other/hand,17889,1,1,19-PSA
17890," \w אֶֽל|lemma=""אֵל"" strong=""H0413"" x-morph=""He,R""",119,48, אֶֽל,,"He,R",אֵל,H0413,False,H0413,,17890,1,1,19-PSA
17891,"־\w מִ֭צְוֺתֶי⁠ךָ|lemma=""מִצְוָה"" strong=""H4687"" x-morph=""He,Ncfpc:Sp2ms"" x-tw=""rc://*/tw/dict/bible/kt/command""",119,48, מִ֭צְוֺתֶי⁠ךָ,־,"He,Ncfpc:Sp2ms",מִצְוָה,H4687,False,H4687,rc://*/tw/dict/bible/kt/command,17891,1,1,19-PSA
17892," \w אֲשֶׁ֥ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",119,48, אֲשֶׁ֥ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,17892,1,1,19-PSA
17893," \w אָהָ֗בְתִּי|lemma=""אָהַב"" strong=""H0157"" x-morph=""He,Vqp1cs"" x-tw=""rc://*/tw/dict/bible/kt/love""",119,48, אָהָ֗בְתִּי,,"He,Vqp1cs",אָהַב,H0157,False,H0157,rc://*/tw/dict/bible/kt/love,17893,1,1,19-PSA
17894," \w וְ⁠אָשִׂ֥יחָה|lemma=""שִׂיחַ"" strong=""c:H7878"" x-morph=""He,C:Vqh1cs""",119,48, וְ⁠אָשִׂ֥יחָה,,"He,C:Vqh1cs",שִׂיחַ,c:H7878,True,H7878,,17894,1,1,19-PSA
17895," \w בְ⁠חֻקֶּֽי⁠ךָ|lemma=""חֹק"" strong=""b:H2706"" x-morph=""He,R:Ncmpc:Sp2ms""",119,48, בְ⁠חֻקֶּֽי⁠ךָ,,"He,R:Ncmpc:Sp2ms",חֹק,b:H2706,True,H2706,,17895,1,1,19-PSA
17897,"\w זְכֹר|lemma=""זָכַר"" strong=""H2142"" x-morph=""He,Vqv2ms""",119,49, זְכֹר,,"He,Vqv2ms",זָכַר,H2142,False,H2142,,17897,1,1,19-PSA
17898,"־\w דָּבָ֥ר|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmsa""",119,49, דָּבָ֥ר,־,"He,Ncmsa",דָּבָר,H1697,False,H1697,,17898,1,1,19-PSA
17899," \w לְ⁠עַבְדֶּ֑⁠ךָ|lemma=""עֶבֶד"" strong=""l:H5650"" x-morph=""He,R:Ncmsc:Sp2ms"" x-tw=""rc://*/tw/dict/bible/other/servant""",119,49, לְ⁠עַבְדֶּ֑⁠ךָ,,"He,R:Ncmsc:Sp2ms",עֶבֶד,l:H5650,True,H5650,rc://*/tw/dict/bible/other/servant,17899,1,1,19-PSA
17900," \w עַ֝֗ל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",119,49, עַ֝֗ל,,"He,R",עַל,H5921a,False,H5921a,,17900,1,1,19-PSA
17901," \w אֲשֶׁ֣ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",119,49, אֲשֶׁ֣ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,17901,1,1,19-PSA
17902," \w יִֽחַלְתָּֽ⁠נִי|lemma=""יָחַל"" strong=""H3176"" x-morph=""He,Vpp2ms:Sp1cs""",119,49, יִֽחַלְתָּֽ⁠נִי,,"He,Vpp2ms:Sp1cs",יָחַל,H3176,False,H3176,,17902,1,1,19-PSA
17904,"\w זֹ֣את|lemma=""זֹאת"" strong=""H2063"" x-morph=""He,Pdxfs""",119,50, זֹ֣את,,"He,Pdxfs",זֹאת,H2063,False,H2063,,17904,1,1,19-PSA
17905," \w נֶחָמָתִ֣⁠י|lemma=""נֶחָמָה"" strong=""H5165"" x-morph=""He,Ncfsc:Sp1cs""",119,50, נֶחָמָתִ֣⁠י,,"He,Ncfsc:Sp1cs",נֶחָמָה,H5165,False,H5165,,17905,1,1,19-PSA
17906," \w בְ⁠עָנְיִ֑⁠י|lemma=""עֳנִי"" strong=""b:H6040"" x-morph=""He,R:Ncmsc:Sp1cs""",119,50, בְ⁠עָנְיִ֑⁠י,,"He,R:Ncmsc:Sp1cs",עֳנִי,b:H6040,True,H6040,,17906,1,1,19-PSA
17907," \w כִּ֖י|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",119,50, כִּ֖י,,"He,C",כִּי,H3588a,False,H3588a,,17907,1,1,19-PSA
17908," \w אִמְרָתְ⁠ךָ֣|lemma=""אִמְרָה"" strong=""H0565a"" x-morph=""He,Ncfsc:Sp2ms""",119,50, אִמְרָתְ⁠ךָ֣,,"He,Ncfsc:Sp2ms",אִמְרָה,H0565a,False,H0565a,,17908,1,1,19-PSA
17909," \w חִיָּֽתְ⁠נִי|lemma=""חָיָה"" strong=""H2421"" x-morph=""He,Vpp3fs:Sp1cs"" x-tw=""rc://*/tw/dict/bible/kt/life""",119,50, חִיָּֽתְ⁠נִי,,"He,Vpp3fs:Sp1cs",חָיָה,H2421,False,H2421,rc://*/tw/dict/bible/kt/life,17909,1,1,19-PSA
17911,"\w זֵ֭דִים|lemma=""זֵד"" strong=""H2086"" x-morph=""He,Aampa""",119,51, זֵ֭דִים,,"He,Aampa",זֵד,H2086,False,H2086,,17911,1,1,19-PSA
17912," \w הֱלִיצֻ֣⁠נִי|lemma=""לוּץ"" strong=""H3887"" x-morph=""He,Vhp3cp:Sp1cs""",119,51, הֱלִיצֻ֣⁠נִי,,"He,Vhp3cp:Sp1cs",לוּץ,H3887,False,H3887,,17912,1,1,19-PSA
17913," \w עַד|lemma=""עַד"" strong=""H5704"" x-morph=""He,R""",119,51, עַד,,"He,R",עַד,H5704,False,H5704,,17913,1,1,19-PSA
17914,"־\w מְאֹ֑ד|lemma=""מְאֹד"" strong=""H3966"" x-morph=""He,D""",119,51, מְאֹ֑ד,־,"He,D",מְאֹד,H3966,False,H3966,,17914,1,1,19-PSA
17915," \w מִ֝⁠תּֽוֹרָתְ⁠ךָ֗|lemma=""תּוֹרָה"" strong=""m:H8451"" x-morph=""He,R:Ncfsc:Sp2ms""",119,51, מִ֝⁠תּֽוֹרָתְ⁠ךָ֗,,"He,R:Ncfsc:Sp2ms",תּוֹרָה,m:H8451,True,H8451,,17915,1,1,19-PSA
17916," \w לֹ֣א|lemma=""לֹא"" strong=""H3808"" x-morph=""He,Tn""",119,51, לֹ֣א,,"He,Tn",לֹא,H3808,False,H3808,,17916,1,1,19-PSA
17917," \w נָטִֽיתִי|lemma=""נָטָה"" strong=""H5186"" x-morph=""He,Vqp1cs""",119,51, נָטִֽיתִי,,"He,Vqp1cs",נָטָה,H5186,False,H5186,,17917,1,1,19-PSA
17919,"\w זָ֘כַ֤רְתִּי|lemma=""זָכַר"" strong=""H2142"" x-morph=""He,Vqp1cs""",119,52, זָ֘כַ֤רְתִּי,,"He,Vqp1cs",זָכַר,H2142,False,H2142,,17919,1,1,19-PSA
17920," \w מִשְׁפָּטֶ֖י⁠ךָ|lemma=""מִשְׁפָּט"" strong=""H4941"" x-morph=""He,Ncmpc:Sp2ms"" x-tw=""rc://*/tw/dict/bible/kt/judge""",119,52, מִשְׁפָּטֶ֖י⁠ךָ,,"He,Ncmpc:Sp2ms",מִשְׁפָּט,H4941,False,H4941,rc://*/tw/dict/bible/kt/judge,17920,1,1,19-PSA
