index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
69," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,3, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,69,2,1,63-1JN
70," \w Πατρὸς|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/godthefather""",1,3, Πατρὸς,,"Gr,N,,,,,GMS,",πατήρ,G39620,False,G39620,rc://*/tw/dict/bible/kt/godthefather,70,1,1,63-1JN
71,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,3, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,71,5,5,63-1JN
72," \w μετὰ|lemma=""μετά"" strong=""G33260"" x-morph=""Gr,P,,,,,G,,,""",1,3, μετὰ,,"Gr,P,,,,,G,,,",μετά,G33260,False,G33260,,72,2,2,63-1JN
73," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,3, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,73,2,2,63-1JN
74," \w Υἱοῦ|lemma=""υἱός"" strong=""G52070"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/sonofgod""",1,3, Υἱοῦ,,"Gr,N,,,,,GMS,",υἱός,G52070,False,G52070,rc://*/tw/dict/bible/kt/sonofgod,74,1,1,63-1JN
75," \w αὐτοῦ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RP,,,3GMS,""",1,3, αὐτοῦ,,"Gr,RP,,,3GMS,",αὐτός,G08460,False,G08460,,75,1,1,63-1JN
76,", \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,3, Ἰησοῦ,", ","Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,76,1,1,63-1JN
77," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,3, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,77,1,1,63-1JN
79,"\w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,4, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,79,1,1,63-1JN
80," \w ταῦτα|lemma=""οὗτος"" strong=""G37780"" x-morph=""Gr,RD,,,,ANP,""",1,4, ταῦτα,,"Gr,RD,,,,ANP,",οὗτος,G37780,False,G37780,,80,1,1,63-1JN
81," \w γράφομεν|lemma=""γράφω"" strong=""G11250"" x-morph=""Gr,V,IPA1,,P,""",1,4, γράφομεν,,"Gr,V,IPA1,,P,",γράφω,G11250,False,G11250,,81,1,1,63-1JN
82," \w ἡμεῖς|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1N,P,""",1,4, ἡμεῖς,,"Gr,RP,,,1N,P,",ἐγώ,G14730,False,G14730,,82,1,1,63-1JN
83,", \w ἵνα|lemma=""ἵνα"" strong=""G24430"" x-morph=""Gr,CS,,,,,,,,""",1,4, ἵνα,", ","Gr,CS,,,,,,,,",ἵνα,G24430,False,G24430,,83,1,1,63-1JN
84," \w ἡ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NFS,""",1,4, ἡ,,"Gr,EA,,,,NFS,",ὁ,G35880,False,G35880,,84,1,1,63-1JN
85," \w χαρὰ|lemma=""χαρά"" strong=""G54790"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/other/joy""",1,4, χαρὰ,,"Gr,N,,,,,NFS,",χαρά,G54790,False,G54790,rc://*/tw/dict/bible/other/joy,85,1,1,63-1JN
86," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,4, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,86,1,1,63-1JN
87," \w ᾖ|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,SPA3,,S,""",1,4, ᾖ,,"Gr,V,SPA3,,S,",εἰμί,G15100,False,G15100,,87,1,1,63-1JN
88," \w πεπληρωμένη|lemma=""πληρόω"" strong=""G41370"" x-morph=""Gr,V,PEP,NFS,""",1,4, πεπληρωμένη,,"Gr,V,PEP,NFS,",πληρόω,G41370,False,G41370,,88,1,1,63-1JN
90,"\w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,5, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,90,3,1,63-1JN
91," \w ἔστιν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,IPA3,,S,""",1,5, ἔστιν,,"Gr,V,IPA3,,S,",εἰμί,G15100,False,G15100,,91,2,1,63-1JN
92," \w αὕτη|lemma=""οὗτος"" strong=""G37780"" x-morph=""Gr,ED,,,,NFS,""",1,5, αὕτη,,"Gr,ED,,,,NFS,",οὗτος,G37780,False,G37780,,92,1,1,63-1JN
93," \w ἡ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NFS,""",1,5, ἡ,,"Gr,EA,,,,NFS,",ὁ,G35880,False,G35880,,93,1,1,63-1JN
94," \w ἀγγελία|lemma=""ἀγγελία"" strong=""G00310"" x-morph=""Gr,N,,,,,NFS,""",1,5, ἀγγελία,,"Gr,N,,,,,NFS,",ἀγγελία,G00310,False,G00310,,94,1,1,63-1JN
95," \w ἣν|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RD,,,,AFS,""",1,5, ἣν,,"Gr,RD,,,,AFS,",ὅς,G37390,False,G37390,,95,1,1,63-1JN
96," \w ἀκηκόαμεν|lemma=""ἀκούω"" strong=""G01910"" x-morph=""Gr,V,IEA1,,P,""",1,5, ἀκηκόαμεν,,"Gr,V,IEA1,,P,",ἀκούω,G01910,False,G01910,,96,1,1,63-1JN
