index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
55," \w πίστιν|lemma=""πίστις"" strong=""G41020"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/faith""",1,4, πίστιν,,"Gr,N,,,,,AFS,",πίστις,G41020,False,G41020,rc://*/tw/dict/bible/kt/faith,55,1,1,57-TIT
56,": \w χάρις|lemma=""χάρις"" strong=""G54850"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/grace""",1,4, χάρις,: ,"Gr,N,,,,,NFS,",χάρις,G54850,False,G54850,rc://*/tw/dict/bible/kt/grace,56,1,1,57-TIT
57," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,4, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,57,2,1,57-TIT
58," \w εἰρήνη|lemma=""εἰρήνη"" strong=""G15150"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/other/peace""",1,4, εἰρήνη,,"Gr,N,,,,,NFS,",εἰρήνη,G15150,False,G15150,rc://*/tw/dict/bible/other/peace,58,1,1,57-TIT
59," \w ἀπὸ|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,4, ἀπὸ,,"Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,59,1,1,57-TIT
60," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,""",1,4, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,60,1,1,57-TIT
61," \w Πατρὸς|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,GMS,""",1,4, Πατρὸς,,"Gr,N,,,,,GMS,",πατήρ,G39620,False,G39620,,61,1,1,57-TIT
62," \k-e\* \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,4, καὶ,\k-e\* ,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,62,2,2,57-TIT
63," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,4, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,63,1,1,57-TIT
64," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,4, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,64,1,1,57-TIT
65," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,4, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,65,1,1,57-TIT
66," \w Σωτῆρος|lemma=""σωτήρ"" strong=""G49900"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/savior""",1,4, Σωτῆρος,,"Gr,N,,,,,GMS,",σωτήρ,G49900,False,G49900,rc://*/tw/dict/bible/kt/savior,66,1,1,57-TIT
67," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,4, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,67,1,1,57-TIT
69,"\w τούτου|lemma=""οὗτος"" strong=""G37780"" x-morph=""Gr,RD,,,,GNS,""",1,5, τούτου,,"Gr,RD,,,,GNS,",οὗτος,G37780,False,G37780,,69,1,1,57-TIT
70," \w χάριν|lemma=""χάριν"" strong=""G54840"" x-morph=""Gr,PI,,,,G,,,""",1,5, χάριν,,"Gr,PI,,,,G,,,",χάριν,G54840,False,G54840,,70,1,1,57-TIT
71,", \w ἀπέλιπόν|lemma=""ἀπολίπω"" strong=""G06200"" x-morph=""Gr,V,IAA1,,S,""",1,5, ἀπέλιπόν,", ","Gr,V,IAA1,,S,",ἀπολίπω,G06200,False,G06200,,71,1,1,57-TIT
72," \w σε|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2A,S,""",1,5, σε,,"Gr,RP,,,2A,S,",σύ,G47710,False,G47710,,72,1,1,57-TIT
73," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,5, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,73,1,1,57-TIT
74," \w Κρήτῃ|lemma=""Κρήτη"" strong=""G29140"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/names/crete""",1,5, Κρήτῃ,,"Gr,N,,,,,DFS,",Κρήτη,G29140,False,G29140,rc://*/tw/dict/bible/names/crete,74,1,1,57-TIT
75,", \w ἵνα|lemma=""ἵνα"" strong=""G24430"" x-morph=""Gr,CS,,,,,,,,""",1,5, ἵνα,", ","Gr,CS,,,,,,,,",ἵνα,G24430,False,G24430,,75,1,1,57-TIT
76," \w τὰ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,ANP,""",1,5, τὰ,,"Gr,RD,,,,ANP,",ὁ,G35880,False,G35880,,76,1,1,57-TIT
77," \w λείποντα|lemma=""λείπω"" strong=""G30070"" x-morph=""Gr,V,PPA,ANP,""",1,5, λείποντα,,"Gr,V,PPA,ANP,",λείπω,G30070,False,G30070,,77,1,1,57-TIT
78," \w ἐπιδιορθώσῃ|lemma=""ἐπιδιορθόω"" strong=""G19300"" x-morph=""Gr,V,SAM2,,S,""",1,5, ἐπιδιορθώσῃ,,"Gr,V,SAM2,,S,",ἐπιδιορθόω,G19300,False,G19300,,78,1,1,57-TIT
79,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,5, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,79,1,1,57-TIT
80," \w καταστήσῃς|lemma=""καθίστημι"" strong=""G25250"" x-morph=""Gr,V,SAA2,,S,"" x-tw=""rc://*/tw/dict/bible/other/ordain""",1,5, καταστήσῃς,,"Gr,V,SAA2,,S,",καθίστημι,G25250,False,G25250,rc://*/tw/dict/bible/other/ordain,80,1,1,57-TIT
81," \w κατὰ|lemma=""κατά"" strong=""G25960"" x-morph=""Gr,P,,,,,A,,,""",1,5, κατὰ,,"Gr,P,,,,,A,,,",κατά,G25960,False,G25960,,81,1,1,57-TIT
82," \w πόλιν|lemma=""πόλις"" strong=""G41720"" x-morph=""Gr,N,,,,,AFS,""",1,5, πόλιν,,"Gr,N,,,,,AFS,",πόλις,G41720,False,G41720,,82,1,1,57-TIT
83," \w πρεσβυτέρους|lemma=""πρεσβύτερος"" strong=""G42450"" x-morph=""Gr,NS,,,,AMPC"" x-tw=""rc://*/tw/dict/bible/other/elder""",1,5, πρεσβυτέρους,,"Gr,NS,,,,AMPC",πρεσβύτερος,G42450,False,G42450,rc://*/tw/dict/bible/other/elder,83,1,1,57-TIT
84,", \w ὡς|lemma=""ὡς"" strong=""G56130"" x-morph=""Gr,CS,,,,,,,,""",1,5, ὡς,", ","Gr,CS,,,,,,,,",ὡς,G56130,False,G56130,,84,1,1,57-TIT
85," \w ἐγώ|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1N,S,""",1,5, ἐγώ,,"Gr,RP,,,1N,S,",ἐγώ,G14730,False,G14730,,85,1,1,57-TIT
86," \w σοι|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2D,S,""",1,5, σοι,,"Gr,RP,,,2D,S,",σύ,G47710,False,G47710,,86,1,1,57-TIT
87," \w διεταξάμην|lemma=""διατάσσω"" strong=""G12990"" x-morph=""Gr,V,IAM1,,S,""",1,5, διεταξάμην,,"Gr,V,IAM1,,S,",διατάσσω,G12990,False,G12990,,87,1,1,57-TIT
89,"\w εἴ|lemma=""εἰ"" strong=""G14870"" x-morph=""Gr,CS,,,,,,,,""",1,6, εἴ,,"Gr,CS,,,,,,,,",εἰ,G14870,False,G14870,,89,1,1,57-TIT
90," \w τίς|lemma=""τις"" strong=""G51000"" x-morph=""Gr,RI,,,,NMS,""",1,6, τίς,,"Gr,RI,,,,NMS,",τις,G51000,False,G51000,,90,1,1,57-TIT
