index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
1911," \w μέλλει|lemma=""μέλλω"" strong=""G31950"" x-morph=""Gr,V,IPA3,,S,""",4,24, μέλλει,,"Gr,V,IPA3,,S,",μέλλω,G31950,False,G31950,,1911,1,1,46-ROM
1912," \w λογίζεσθαι|lemma=""λογίζομαι"" strong=""G30490"" x-morph=""Gr,V,NPP,,,,,""",4,24, λογίζεσθαι,,"Gr,V,NPP,,,,,",λογίζομαι,G30490,False,G30490,,1912,1,1,46-ROM
1913,", \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,DMP,""",4,24, τοῖς,", ","Gr,RD,,,,DMP,",ὁ,G35880,False,G35880,,1913,1,1,46-ROM
1914," \w πιστεύουσιν|lemma=""πιστεύω"" strong=""G41000"" x-morph=""Gr,V,PPA,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/believe""",4,24, πιστεύουσιν,,"Gr,V,PPA,DMP,",πιστεύω,G41000,False,G41000,rc://*/tw/dict/bible/kt/believe,1914,1,1,46-ROM
1915," \w ἐπὶ|lemma=""ἐπί"" strong=""G19090"" x-morph=""Gr,P,,,,,A,,,""",4,24, ἐπὶ,,"Gr,P,,,,,A,,,",ἐπί,G19090,False,G19090,,1915,1,1,46-ROM
1916," \w τὸν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,AMS,""",4,24, τὸν,,"Gr,RD,,,,AMS,",ὁ,G35880,False,G35880,,1916,2,1,46-ROM
1917," \w ἐγείραντα|lemma=""ἐγείρω"" strong=""G14530"" x-morph=""Gr,V,PAA,AMS,"" x-tw=""rc://*/tw/dict/bible/other/raise""",4,24, ἐγείραντα,,"Gr,V,PAA,AMS,",ἐγείρω,G14530,False,G14530,rc://*/tw/dict/bible/other/raise,1917,1,1,46-ROM
1918," \w Ἰησοῦν|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,AMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",4,24, Ἰησοῦν,,"Gr,N,,,,,AMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,1918,1,1,46-ROM
1919,", \w τὸν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMS,""",4,24, τὸν,", ","Gr,EA,,,,AMS,",ὁ,G35880,False,G35880,,1919,2,2,46-ROM
1920," \w Κύριον|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,AMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",4,24, Κύριον,,"Gr,N,,,,,AMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,1920,1,1,46-ROM
1921," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",4,24, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,1921,1,1,46-ROM
