,token,chapter,verse,book
580,myself,2,8,21-ECC
581,silver,2,8,21-ECC
582,and,2,8,21-ECC
583,"gold,",2,8,21-ECC
584,the,2,8,21-ECC
585,treasures,2,8,21-ECC
586,of,2,8,21-ECC
587,kings,2,8,21-ECC
588,and,2,8,21-ECC
589,provinces.,2,8,21-ECC
590,I,2,8,21-ECC
591,got,2,8,21-ECC
592,male,2,8,21-ECC
593,and,2,8,21-ECC
594,female,2,8,21-ECC
595,singers,2,8,21-ECC
596,for,2,8,21-ECC
597,myself—the,2,8,21-ECC
598,delights,2,8,21-ECC
599,of,2,8,21-ECC
600,the,2,8,21-ECC
601,children,2,8,21-ECC
602,of,2,8,21-ECC
603,humanity—and,2,8,21-ECC
604,many,2,8,21-ECC
605,concubines.,2,8,21-ECC
606,\f,2,8,21-ECC
607,+,2,8,21-ECC
608,Modern,2,8,21-ECC
609,versions,2,8,21-ECC
610,interpret,2,8,21-ECC
611,the,2,8,21-ECC
612,last,2,8,21-ECC
613,part,2,8,21-ECC
614,of,2,8,21-ECC
615,this,2,8,21-ECC
616,verse,2,8,21-ECC
617,in,2,8,21-ECC
618,different,2,8,21-ECC
619,ways:,2,8,21-ECC
620,\fqa,2,8,21-ECC
621,everything,2,8,21-ECC
622,that,2,8,21-ECC
623,pleases,2,8,21-ECC
624,people,2,8,21-ECC
625,\fqa*,2,8,21-ECC
626,",",2,8,21-ECC
627,\fqa,2,8,21-ECC
628,concubines,2,8,21-ECC
629,and,2,8,21-ECC
630,everything,2,8,21-ECC
631,that,2,8,21-ECC
632,pleases,2,8,21-ECC
633,men,2,8,21-ECC
634,\fqa*,2,8,21-ECC
635,",",2,8,21-ECC
636,etc.,2,8,21-ECC
637,\f*,2,8,21-ECC
638,So,2,9,21-ECC
639,I,2,9,21-ECC
640,became,2,9,21-ECC
641,greater,2,9,21-ECC
642,and,2,9,21-ECC
643,wealthier,2,9,21-ECC
644,than,2,9,21-ECC
645,all,2,9,21-ECC
646,who,2,9,21-ECC
647,were,2,9,21-ECC
