,token,chapter,verse,book
614,an,2,2,03-LEV
615,offering,2,2,03-LEV
616,made,2,2,03-LEV
617,to,2,2,03-LEV
618,him,2,2,03-LEV
619,by,2,2,03-LEV
620,fire.,2,2,03-LEV
621,Whatever,2,3,03-LEV
622,is,2,3,03-LEV
623,left,2,3,03-LEV
624,of,2,3,03-LEV
625,the,2,3,03-LEV
626,grain,2,3,03-LEV
627,offering,2,3,03-LEV
628,will,2,3,03-LEV
629,belong,2,3,03-LEV
630,to,2,3,03-LEV
631,Aaron,2,3,03-LEV
632,and,2,3,03-LEV
633,his,2,3,03-LEV
634,sons.,2,3,03-LEV
635,It,2,3,03-LEV
636,is,2,3,03-LEV
637,very,2,3,03-LEV
638,holy,2,3,03-LEV
639,to,2,3,03-LEV
640,Yahweh,2,3,03-LEV
641,from,2,3,03-LEV
642,the,2,3,03-LEV
643,offerings,2,3,03-LEV
644,to,2,3,03-LEV
645,Yahweh,2,3,03-LEV
646,made,2,3,03-LEV
647,by,2,3,03-LEV
648,fire.,2,3,03-LEV
649,\p,2,3,03-LEV
650,When,2,4,03-LEV
651,you,2,4,03-LEV
652,offer,2,4,03-LEV
653,a,2,4,03-LEV
654,grain,2,4,03-LEV
655,offering,2,4,03-LEV
656,without,2,4,03-LEV
657,yeast,2,4,03-LEV
658,that,2,4,03-LEV
659,is,2,4,03-LEV
660,baked,2,4,03-LEV
661,in,2,4,03-LEV
662,an,2,4,03-LEV
663,"oven,",2,4,03-LEV
664,it,2,4,03-LEV
665,must,2,4,03-LEV
666,be,2,4,03-LEV
667,soft,2,4,03-LEV
668,bread,2,4,03-LEV
669,of,2,4,03-LEV
670,fine,2,4,03-LEV
671,flour,2,4,03-LEV
672,mixed,2,4,03-LEV
673,with,2,4,03-LEV
674,"oil,",2,4,03-LEV
675,or,2,4,03-LEV
676,hard,2,4,03-LEV
677,bread,2,4,03-LEV
678,without,2,4,03-LEV
679,"yeast,",2,4,03-LEV
680,which,2,4,03-LEV
681,is,2,4,03-LEV
682,spread,2,4,03-LEV
683,with,2,4,03-LEV
684,oil.,2,4,03-LEV
685,If,2,5,03-LEV
686,your,2,5,03-LEV
687,grain,2,5,03-LEV
688,offering,2,5,03-LEV
689,is,2,5,03-LEV
690,baked,2,5,03-LEV
691,with,2,5,03-LEV
692,a,2,5,03-LEV
693,flat,2,5,03-LEV
694,iron,2,5,03-LEV
695,"pan,",2,5,03-LEV
696,it,2,5,03-LEV
697,must,2,5,03-LEV
698,be,2,5,03-LEV
699,of,2,5,03-LEV
700,fine,2,5,03-LEV
701,flour,2,5,03-LEV
702,without,2,5,03-LEV
703,yeast,2,5,03-LEV
704,that,2,5,03-LEV
705,is,2,5,03-LEV
706,mixed,2,5,03-LEV
707,with,2,5,03-LEV
708,oil.,2,5,03-LEV
709,You,2,6,03-LEV
710,are,2,6,03-LEV
711,to,2,6,03-LEV
712,divide,2,6,03-LEV
713,it,2,6,03-LEV
714,into,2,6,03-LEV
715,pieces,2,6,03-LEV
716,and,2,6,03-LEV
717,pour,2,6,03-LEV
718,oil,2,6,03-LEV
719,on,2,6,03-LEV
720,it.,2,6,03-LEV
721,This,2,6,03-LEV
722,is,2,6,03-LEV
723,a,2,6,03-LEV
724,grain,2,6,03-LEV
725,offering.,2,6,03-LEV
726,If,2,7,03-LEV
727,your,2,7,03-LEV
728,grain,2,7,03-LEV
729,offering,2,7,03-LEV
730,is,2,7,03-LEV
731,cooked,2,7,03-LEV
732,in,2,7,03-LEV
733,a,2,7,03-LEV
734,"pan,",2,7,03-LEV
735,it,2,7,03-LEV
736,must,2,7,03-LEV
737,be,2,7,03-LEV
738,made,2,7,03-LEV
739,with,2,7,03-LEV
740,fine,2,7,03-LEV
741,flour,2,7,03-LEV
742,and,2,7,03-LEV
743,oil.,2,7,03-LEV
744,You,2,8,03-LEV
745,must,2,8,03-LEV
746,bring,2,8,03-LEV
747,the,2,8,03-LEV
748,grain,2,8,03-LEV
749,offering,2,8,03-LEV
750,made,2,8,03-LEV
751,from,2,8,03-LEV
752,these,2,8,03-LEV
753,things,2,8,03-LEV
754,to,2,8,03-LEV
755,"Yahweh,",2,8,03-LEV
756,and,2,8,03-LEV
757,it,2,8,03-LEV
758,will,2,8,03-LEV
759,be,2,8,03-LEV
760,presented,2,8,03-LEV
761,to,2,8,03-LEV
762,the,2,8,03-LEV
763,"priest,",2,8,03-LEV
764,who,2,8,03-LEV
765,will,2,8,03-LEV
766,bring,2,8,03-LEV
767,it,2,8,03-LEV
768,to,2,8,03-LEV
769,the,2,8,03-LEV
770,altar.,2,8,03-LEV
771,Then,2,9,03-LEV
772,the,2,9,03-LEV
773,priest,2,9,03-LEV
774,will,2,9,03-LEV
775,take,2,9,03-LEV
